Wall time,Step,Value
1584851413.6669207,1,0.23133869469165802
1584851503.635475,2,0.08659971505403519
1584851610.8063462,3,0.06072266772389412
1584851712.3249428,4,0.05339391529560089
1584851821.9745376,5,0.04825802892446518
1584851926.5980911,6,0.04431838169693947
1584852047.079882,7,0.03668522834777832
1584852148.610825,8,0.031618427485227585
1584852262.8458364,9,0.03183640167117119
1584852372.8526053,10,0.03175137937068939
1584852485.0563266,11,0.02506488747894764
1584852588.5983796,12,0.02752101421356201
1584852682.9554873,13,0.021241042762994766
1584852783.415658,14,0.01924530602991581
1584852895.2705605,15,0.024167558178305626
1584853008.2138002,16,0.020182251930236816
1584853129.6627674,17,0.020041706040501595
1584853244.5649135,18,0.020299796015024185
1584853353.8022597,19,0.016924992203712463
1584853456.7893074,20,0.01515352725982666
1584853565.988501,21,0.006619402673095465
1584853683.547294,22,0.0018682186491787434
1584853791.5401888,23,0.0014011557213962078
1584853901.8935084,24,0.0014996494865044951
1584854000.2125463,25,0.0010325881885364652
1584854107.8141873,26,0.0007097026682458818
1584854209.3927712,27,0.0008031140314415097
1584854309.3351364,28,0.0007045180536806583
1584854391.9595983,29,0.0005634594708681107
1584854469.2616863,30,0.0004397099546622485
1584854547.875461,31,0.0005005769780836999
1584854620.6595259,32,0.0004536852356977761
1584854689.6597676,33,0.0005288000102154911
1584854757.001583,34,0.0004840117762796581
1584854826.523968,35,0.0003669138823170215
1584854902.4063954,36,0.00029717935831286013
1584854967.5544155,37,0.00027466382016427815
1584855035.6575491,38,0.0003184778324794024
1584855104.283664,39,0.0002606507041491568
1584855177.2531593,40,0.0002663266204763204
1584855243.8824835,41,0.0001635048392927274
1584855319.2399752,42,0.0002512337523512542
1584855388.8436337,43,0.00011630498920567334
1584855464.308427,44,0.00010819032468134537
1584855536.2598839,45,0.00014225306222215295
1584855602.4936,46,0.00013579516962636262
1584855669.9101365,47,0.00010510154970688745
1584855744.5362253,48,0.00015988724771887064
1584855817.494923,49,0.00013183163537178189
1584855888.8659832,50,0.00016295185196213424
1584855961.4935908,51,6.751171167707071e-05
1584856025.851976,52,6.13507509115152e-05
1584856092.9976697,53,0.00012894485553260893
1584856169.0660682,54,0.00010839336755452678
1584856236.1762953,55,0.00011566971807042137
1584856308.3523152,56,7.659775292268023e-05
1584856386.1724553,57,8.85417393874377e-05
1584856462.760975,58,8.005596464499831e-05
1584856533.4096413,59,6.425132596632466e-05
1584856600.4276826,60,8.02831127657555e-05
1584856665.6227746,61,0.00012486825289670378
1584856737.5060172,62,0.00015646309475414455
1584856810.7401757,63,9.825119195738807e-05
1584856884.829634,64,9.741377289174125e-05
1584856961.0252001,65,7.833839481463656e-05
1584857039.5997722,66,5.495023287949152e-05
1584857118.2212677,67,6.339009269140661e-05
1584857189.0874896,68,8.248174708569422e-05
1584857259.4674423,69,6.573969585588202e-05
1584857332.9034452,70,6.781065167160705e-05
1584857412.9909935,71,9.181748464470729e-05
1584857490.856035,72,4.953615280101076e-05
1584857564.8452303,73,7.568250293843448e-05
1584857641.7053704,74,7.42857955629006e-05
1584857717.6728606,75,0.00012973578122910112
1584857792.8940027,76,6.648303678957745e-05
1584857864.9645333,77,8.16485335235484e-05
1584857941.188555,78,0.00011491477926028892
1584858013.0471382,79,9.840245184022933e-05
1584858085.42375,80,4.823927883990109e-05
1584858155.7003975,81,7.330342486966401e-05
1584858209.1548483,82,8.921979315346107e-05
1584858255.9890938,83,8.326526585733518e-05
1584858299.5796595,84,6.713821494486183e-05
1584858340.0387995,85,7.695925160078332e-05
1584858380.315138,86,5.041599433752708e-05
1584858420.9400842,87,7.952010491862893e-05
1584858463.093135,88,7.209685281850398e-05
1584858504.2456684,89,0.0001329122023889795
1584858542.6171138,90,6.364106229739264e-05
1584858582.5953383,91,8.491855260217562e-05
1584858623.8030055,92,0.0001238886034116149
1584858670.1013246,93,5.114576197229326e-05
1584858719.9373317,94,6.812456558691338e-05
1584858765.3519495,95,0.00012757132935803384
1584858806.0078552,96,5.2499552111839876e-05
1584858851.438432,97,7.606753206346184e-05
1584858891.9012184,98,6.075672717997804e-05
1584858937.2300422,99,5.1027767767664045e-05
1584858968.6873047,100,6.255558400880545e-05
