Wall time,Step,Value
1584851412.922276,1,0.9205833077430725
1584851498.035029,2,0.9511333107948303
1584851599.1833835,3,0.9575499892234802
1584851726.717988,4,0.9614166617393494
1584851831.9137566,5,0.9645000100135803
1584851947.539597,6,0.9667666554450989
1584852067.6633112,7,0.9661666750907898
1584852189.49593,8,0.9693333506584167
1584852304.8906412,9,0.9711166620254517
1584852408.6848125,10,0.9709166884422302
1584852526.659091,11,0.9731166958808899
1584852621.596915,12,0.9725000262260437
1584852729.1711857,13,0.9727833271026611
1584852841.334089,14,0.9735000133514404
1584852951.7302766,15,0.9742333292961121
1584853070.8252678,16,0.9761833548545837
1584853166.979587,17,0.9766166806221008
1584853271.544745,18,0.9766166806221008
1584853380.832498,19,0.9763333201408386
1584853500.029786,20,0.9775500297546387
1584853605.1361592,21,0.986299991607666
1584853711.3485248,22,0.9902499914169312
1584853832.5617037,23,0.9917833209037781
1584853929.153498,24,0.9926833510398865
1584854048.787381,25,0.993399977684021
1584854165.5958974,26,0.9939833283424377
1584854288.169759,27,0.9944000244140625
1584854377.8247643,28,0.9949833154678345
1584854461.3456132,29,0.9953333139419556
1584854530.772799,30,0.9958500266075134
1584854601.9783926,31,0.9959333539009094
1584854670.5467942,32,0.9960833191871643
1584854739.5175214,33,0.9963499903678894
1584854805.4775121,34,0.996483325958252
1584854873.9584792,35,0.9968166947364807
1584854949.701231,36,0.9966999888420105
1584855017.866986,37,0.9966833591461182
1584855095.4039116,38,0.9971833229064941
1584855170.3406866,39,0.9971166849136353
1584855245.277771,40,0.9971666932106018
1584855318.5582035,41,0.9975666403770447
1584855390.2063549,42,0.9976999759674072
1584855463.8393178,43,0.9977333545684814
1584855531.2554357,44,0.997783362865448
1584855603.3793728,45,0.9977999925613403
1584855679.989446,46,0.9978166818618774
1584855747.2001736,47,0.997866690158844
1584855819.8840814,48,0.9978500008583069
1584855893.282996,49,0.9977999925613403
1584855964.0683184,50,0.9979166388511658
1584856035.4373007,51,0.9979000091552734
1584856098.6622627,52,0.9978833198547363
1584856163.6367953,53,0.9979833364486694
1584856235.99353,54,0.9979666471481323
1584856312.0518584,55,0.9979666471481323
1584856381.1791751,56,0.9979666471481323
1584856441.565992,57,0.9979833364486694
1584856515.1562757,58,0.9980499744415283
1584856584.2073615,59,0.9980666637420654
1584856658.9344604,60,0.9980000257492065
1584856733.2424097,61,0.9980833530426025
1584856804.926952,62,0.9980999827384949
1584856883.660813,63,0.9980833530426025
1584856955.8190677,64,0.9980999827384949
1584857025.6598504,65,0.9980999827384949
1584857101.0612345,66,0.9980999827384949
1584857173.606477,67,0.9980999827384949
1584857247.013001,68,0.9980999827384949
1584857323.9011872,69,0.9980999827384949
1584857399.5652,70,0.9980999827384949
1584857470.0814776,71,0.9980999827384949
1584857539.7736628,72,0.9980999827384949
1584857613.7034924,73,0.998116672039032
1584857698.0803585,74,0.998116672039032
1584857767.9952445,75,0.998116672039032
1584857840.6775336,76,0.998116672039032
1584857910.7608466,77,0.998116672039032
1584857980.3307352,78,0.998116672039032
1584858052.504548,79,0.998116672039032
1584858120.4105108,80,0.998116672039032
1584858184.0904148,81,0.998116672039032
1584858236.0457144,82,0.998116672039032
1584858281.8903444,83,0.998116672039032
1584858326.2745886,84,0.998116672039032
1584858366.8309543,85,0.998116672039032
1584858408.4571393,86,0.998116672039032
1584858452.5001564,87,0.998116672039032
1584858494.4003527,88,0.998116672039032
1584858534.859163,89,0.998116672039032
1584858576.8599858,90,0.998116672039032
1584858618.5314968,91,0.998116672039032
1584858653.5567222,92,0.998116672039032
1584858695.2460587,93,0.998116672039032
1584858737.6557808,94,0.998116672039032
1584858779.6698143,95,0.998116672039032
1584858820.795803,96,0.998116672039032
1584858861.040032,97,0.998116672039032
1584858900.013118,98,0.998116672039032
1584858945.9958453,99,0.998116672039032
1584858975.146039,100,0.998116672039032
